cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,27,27,0,35,23,12,1.0,0.5,0.18518518518518517,0.8672727272727272,0.34285714285714286,0,normal,0.0,0,0,0,0
2,59,59,0,37,14,23,1.0,0.3888888888888889,0.0847457627118644,0.8617592592592592,0.6216216216216216,0,jump,0.0,0,0,0,0
3,68,68,0,43,10,33,1.0,0.4838709677419355,0.08823529411764706,0.8599193548387096,0.7674418604651163,0,jump,0.0,0,0,0,0
4,74,74,0,45,2,43,1.0,0.5588235294117647,0.08108108108108109,0.8705147058823529,0.9555555555555556,0,jump,0.0,0,0,0,0
5,79,79,0,45,0,45,1.0,0.5641025641025641,0.012658227848101266,0.8678333333333333,1.0,0,jump,0.0,0,0,0,0
