cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,27,27,0,52,40,12,1.0,0.56,0.07407407407407407,0.847,0.34285714285714286,0,normal,0.0,0,0,0,0
2,39,39,0,81,57,24,1.0,0.65625,0.1794871794871795,0.8501875,0.3157894736842105,0,jump,0.0,0,0,0,0
3,47,47,0,93,59,34,1.0,0.7045454545454546,0.06382978723404255,0.8600909090909091,0.3655913978494624,0,jump,0.0,0,0,0,0
4,57,57,0,93,49,44,1.0,0.7346938775510204,0.14035087719298245,0.8596122448979592,0.4731182795698925,0,jump,0.0,0,0,0,0
5,87,87,0,123,64,59,1.0,0.5949367088607594,0.09195402298850575,0.8239493670886076,0.4796747967479675,0,jump,0.0,0,0,0,0
