cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls,adj_gen_count,wildcard_gen_count,cap_hit_count
1,34,34,0,61,44,17,1.0,0.5714285714285714,0.17647058823529413,0.8570357142857142,0.2786885245901639,0,normal,0.0,0,0,0,0,0,0,0
2,77,77,0,101,62,39,1.0,0.4696969696969697,0.14285714285714285,0.8653030303030302,0.38613861386138615,0,jump,0.0,0,0,0,0,0,0,0
3,107,107,0,101,32,69,1.0,0.5869565217391305,0.14018691588785046,0.8711739130434782,0.6831683168316832,0,jump,0.0,0,0,0,0,0,0,0
4,119,119,0,101,20,81,1.0,0.631578947368421,0.04201680672268908,0.8800087719298245,0.801980198019802,0,jump,0.0,0,0,0,0,0,0,0
5,125,125,0,104,17,87,1.0,0.639344262295082,0.024,0.8800327868852459,0.8365384615384616,0,jump,0.0,0,0,0,0,0,0,0
