cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls,adj_gen_count,wildcard_gen_count,cap_hit_count
1,30,30,0,59,42,17,1.0,0.5416666666666666,0.2,0.8486666666666666,0.288135593220339,0,normal,0.0,0,0,0,0,14,25,1
2,79,79,0,117,79,38,1.0,0.410958904109589,0.0759493670886076,0.8494657534246576,0.3247863247863248,0,jump,0.0,0,0,0,0,58,0,1
3,110,110,0,128,57,71,1.0,0.5208333333333334,0.12727272727272726,0.85471875,0.5546875,0,jump,0.0,0,0,0,0,11,0,0
4,138,138,0,128,32,96,1.0,0.6016260162601627,0.10869565217391304,0.8556504065040651,0.75,0,jump,0.0,0,0,0,0,0,0,0
5,151,151,0,128,19,109,1.0,0.6308724832214765,0.013245033112582781,0.8608120805369127,0.8515625,0,jump,0.0,0,0,0,0,0,0,0
