cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,27,27,0,52,40,12,1.0,0.6190476190476191,0.2222222222222222,0.8385238095238094,0.34285714285714286,0,normal,0.0,0,0,0,0
2,39,39,0,81,57,24,1.0,0.7096774193548387,0.20512820512820512,0.8306451612903226,0.3157894736842105,0,jump,0.0,0,0,0,0
3,46,46,0,91,58,33,1.0,0.7954545454545454,0.043478260869565216,0.8413409090909091,0.3626373626373626,0,jump,0.0,0,0,0,0
4,58,58,0,91,46,45,1.0,0.7924528301886793,0.08620689655172414,0.8397169811320755,0.4945054945054945,0,jump,0.0,0,0,0,0
5,80,80,0,99,39,60,1.0,0.7123287671232876,0.0875,0.8156301369863014,0.6060606060606061,0,jump,0.0,0,0,0,0
