cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,23,23,0,56,46,10,1.0,0.5555555555555556,0.21739130434782608,0.8800555555555555,0.2857142857142857,0,normal,0.0,0,0,0,0
2,29,29,0,82,66,16,1.0,0.64,0.13793103448275862,0.86076,0.2318840579710145,0,jump,0.0,0,0,0,0
3,35,35,0,99,77,22,1.0,0.65625,0.08571428571428572,0.86103125,0.23655913978494625,0,jump,0.0,0,0,0,0
4,40,40,0,110,83,27,1.0,0.7105263157894737,0.05,0.8476315789473684,0.25,0,jump,0.0,0,0,0,0
5,45,45,0,113,81,32,1.0,0.75,0.022222222222222223,0.8534545454545455,0.2831858407079646,0,jump,0.0,0,0,0,0
