cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,46,46,0,45,25,20,1.0,0.425,0.13043478260869565,0.8189500000000001,0.5714285714285714,0,normal,0.0,0,0,0,0
2,54,54,0,62,34,28,1.0,0.54,0.07407407407407407,0.83276,0.4666666666666667,0,jump,0.0,0,0,0,0
3,64,64,0,64,26,38,1.0,0.5818181818181818,0.140625,0.8345454545454545,0.6031746031746031,0,jump,0.0,0,0,0,0
4,78,78,0,79,26,53,1.0,0.6714285714285714,0.10256410256410256,0.8417285714285714,0.6708860759493671,0,jump,0.0,0,0,0,0
5,88,88,0,79,15,64,1.0,0.7142857142857143,0.045454545454545456,0.8456785714285713,0.810126582278481,0,jump,0.0,0,0,0,0
