cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,48,48,0,35,17,18,1.0,0.4146341463414634,0.14583333333333334,0.8613414634146341,0.5142857142857142,0,normal,0.0,0,0,0,0
2,64,64,0,37,2,35,1.0,0.5535714285714286,0.125,0.8755178571428571,0.9459459459459459,0,jump,0.0,0,0,0,0
3,64,64,0,37,0,37,1.0,0.6190476190476191,0.015625,0.8757777777777778,1.0,0,jump,0.0,0,0,0,0
4,64,64,0,37,0,37,1.0,0.625,0.0,0.8769375,1.0,0,jump,0.0,0,0,0,0
5,64,64,0,37,0,37,1.0,0.625,0.0,0.8769375,1.0,0,jump,0.0,0,0,0,0
6,64,64,0,37,0,37,1.0,0.625,0.0,0.8769375,1.0,0,jump,0.0,0,0,0,0
7,64,64,0,37,0,37,1.0,0.625,0.0,0.8769375,1.0,0,jump,0.0,0,0,0,0
8,64,64,0,37,0,37,1.0,0.625,0.0,0.8769375,1.0,0,jump,0.0,0,0,0,0
