cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,25,25,0,54,43,11,1.0,0.5789473684210527,0.24,0.8726315789473683,0.3142857142857143,0,normal,0.0,0,0,0,0
2,34,34,0,83,63,20,1.0,0.6333333333333333,0.11764705882352941,0.8633000000000001,0.26666666666666666,0,jump,0.0,0,0,0,0
3,45,45,0,101,68,33,1.0,0.7142857142857143,0.06666666666666667,0.8774285714285713,0.32673267326732675,0,jump,0.0,0,0,0,0
4,61,61,0,101,52,49,1.0,0.7307692307692307,0.14754098360655737,0.8746730769230768,0.48514851485148514,0,jump,0.0,0,0,0,0
5,69,69,0,101,44,57,1.0,0.765625,0.07246376811594203,0.866140625,0.5643564356435643,0,jump,0.0,0,0,0,0
