cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,50,50,0,35,15,20,1.0,0.35714285714285715,0.16,0.805547619047619,0.5714285714285714,0,normal,0.0,0,0,0,0
2,70,70,0,45,10,35,1.0,0.47619047619047616,0.1,0.8274761904761905,0.7777777777777778,0,jump,0.0,0,0,0,0
3,73,73,0,45,7,38,1.0,0.5416666666666666,0.0136986301369863,0.8379305555555555,0.8444444444444444,0,jump,0.0,0,0,0,0
4,77,77,0,46,2,44,1.0,0.5616438356164384,0.05194805194805195,0.8404794520547945,0.9565217391304348,0,jump,0.0,0,0,0,0
5,78,78,0,46,1,45,1.0,0.5789473684210527,0.02564102564102564,0.8408552631578947,0.9782608695652174,0,jump,0.0,0,0,0,0
