cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,40,40,0,35,15,20,1.0,0.5,0.25,0.8369333333333333,0.5714285714285714,0,normal,0.0,0,0,0,0
2,59,59,0,39,4,35,1.0,0.6153846153846154,0.11864406779661017,0.8377884615384615,0.8974358974358975,0,jump,0.0,0,0,0,0
3,61,61,0,39,0,39,1.0,0.6833333333333333,0.01639344262295082,0.8503000000000001,1.0,0,jump,0.0,0,0,0,0
4,61,61,0,39,0,39,1.0,0.6885245901639344,0.0,0.8519344262295081,1.0,0,jump,0.0,0,0,0,0
5,61,61,0,39,0,39,1.0,0.6885245901639344,0.0,0.8519344262295081,1.0,0,jump,0.0,0,0,0,0
