cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,55,55,0,45,25,20,1.0,0.2978723404255319,0.14545454545454545,0.8828297872340426,0.5714285714285714,0,normal,0.0,0,0,0,0
2,63,63,0,62,34,28,1.0,0.43103448275862066,0.07936507936507936,0.8738620689655172,0.4666666666666667,0,jump,0.0,0,0,0,0
3,72,72,0,64,27,37,1.0,0.5217391304347826,0.041666666666666664,0.8778840579710144,0.578125,0,jump,0.0,0,0,0,0
4,80,80,0,65,20,45,1.0,0.56,0.0625,0.8794,0.6923076923076923,0,jump,0.0,0,0,0,0
5,84,84,0,65,16,49,1.0,0.5975609756097561,0.023809523809523808,0.8801585365853659,0.7538461538461538,0,jump,0.0,0,0,0,0
